ProductRegNo,SLPID,TAC,RegType,SerialNo,productCategory,modelID,modelDescription,consigneeName
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,GZW1473,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,6G7C273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,9F7C273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760002,CIDF15000022,REAB/87R/0220/S(20-0412),SerialNo,44ZC273,NOTEBOOK (HYBRID-ICT),,P91F [WLAN & Bluetooth Module: AX201D2W & QCNFA524],DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,DFQ2C73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,2YS3C73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,GWS3C73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,G8WBC73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,4JJCC73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,CLS2C73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,2P8DC73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760001,CIDF15000022,REAB/96K/1118/S(18-4445),SerialNo,G6XBC73,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,7BFV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,3CFV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,6DBV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,JTCV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
SQASI/20/LBL/760000,CIDF15000022,REAB/71R/0120/S(20-0312),SerialNo,BBFV563,NOTEBOOK (HYBRID-ICT),,"P89G [SRC Module: 9462NGW, 9560NGW, 9560NGW R, QCNFA335, QCNFA435, QCNFA344A]",DELL GLOBAL BUSINESS CENTER SDN. BHD
