SLPID,ExpiryDate,SLPID_owner,principal_certificate,ApproveDate
HIDF16000172,2017-08-22T00:00:00,WATTA ENERGY (M) SDN. BHD.,LGELECTRONICS INC,2016-08-23T00:00:00
CIDF16000105,2017-05-29T00:00:00,TECNOMIC SYSTEMS SDN. BHD.,SONUS NETWORKS,2016-05-30T00:00:00
HIDF15000334,2018-11-14T00:00:00,TECNOMIC SYSTEMS SDN. BHD.,SONUS NETWORKS,2015-06-29T00:00:00
HIDF16000106,2022-08-03T00:00:00,SUMITOMO CORPORATION ASIA & OCEANIA  PTE. LTD.,"MITSUBISHI ELECTRIC CORP.,",2016-05-31T00:00:00
HIDF19000045,2021-10-11T00:00:00,NAS2U SOLUTION SDN BHD,"TRENDNET INTERNATIONAL, INC",2019-03-14T00:00:00
HIDF15000586,2020-12-05T00:00:00,NEXUSTEL SDN. BHD.,ETRALI SINGAPORE PTE LTD,2015-12-22T00:00:00
HIDF15000044,2021-12-06T00:00:00,M.M SOFT MALAYSIA SDN BHD,NINTENDO CO LTD.,2015-03-19T00:00:00
HIDF15000186,2022-06-27T00:00:00,ERICSSON (MALAYSIA) SDN. BHD.,ERICSSON SYSTEMS AB,2015-05-27T00:00:00
HIDF15000079,2020-10-01T00:00:00,SECURED SOLUTIONS (M) SDN BHD,AIRTIGHT NETWORK  INC,2015-04-02T00:00:00
HIDF16000041,2018-04-19T00:00:00,GREENFINDER SDN BHD,SAAB TRANSPONDER TECH AB,2016-02-24T00:00:00
CIDF16000205,2017-10-11T00:00:00,SIME DARBY INDUSTRIAL SDN. BHD.,CATERPILLAR INC,2016-10-12T00:00:00
HIDF21000152,2022-09-12T00:00:00,SUZUKI MALAYSIA SDN. BHD.,MITSUBISHI ELECTRIC CORP .HIMEJI WORKS,2021-09-13T00:00:00
HIDF15000316,2019-10-10T00:00:00,SERTING COM SDN BHD,HANN XING ELECTRONIC R&D PTE LTD,2015-06-25T00:00:00
HIDF15000195,2019-08-28T00:00:00,BMW MALAYSIA SDN. BHD.,BMW AG,2015-05-28T00:00:00
CIDM15000411,2016-07-30T00:00:00,FINTEC ASIA PACIFIC SDN. BHD.,TRAMIGO LTD,2015-07-31T00:00:00
HIDF17000002,2018-01-11T00:00:00,PESTECH SDN BHD,RFL ELECTRONICS INC.,2017-01-12T00:00:00
HIDF15000069,2017-06-08T00:00:00,PACKET ONE NETWORKS (MALAYSIA) SDN. BHD.,GEMTEK TECHNOLOGY CO. LTD,2015-03-24T00:00:00
HIDF15000081,2022-05-18T00:00:00,YTL COMMUNICATIONS SDN BHD,GEMTEK TECHNOLOGY CO. LTD,2015-04-02T00:00:00
CIDF15000331,2018-07-05T00:00:00,TELE DYNAMICS GLOBAL COM SDN. BHD.,TOSHIBA CORPORATION HINO OPERATIONS,2015-06-29T00:00:00
HIDF16000005,2017-01-10T00:00:00,GLOBAL FORWAY SDN BHD,HUAWEI TECH. CO LTD,2016-01-11T00:00:00
HIDF16000044,2017-02-27T00:00:00,NOVARANK SDN BHD,HUAWEI TECH. CO LTD,2016-02-29T00:00:00
HIDF15000532,2022-02-14T00:00:00,MYTV BROADCASTING SDN. BHD.,HUAWEI TECH. CO LTD,2015-10-29T00:00:00
HIDF15000420,2016-08-05T00:00:00,TREK SYSTEMS (M) SDN BHD,TOSHIBA CORP. ,2015-08-06T00:00:00
HIDF15000510,2022-04-22T00:00:00,GLOBAL-TRAK SYSTEMS SDN. BHD.,TRIMBLE NAVIGATION LTD (USA),2015-10-13T00:00:00
CIDF15000363,2022-08-04T00:00:00,INGRAM MICRO MALAYSIA SDN. BHD.,DYNABOOK SINGAPORE PTE. LTD.,2015-07-09T00:00:00
CIDF15000363,2021-10-25T00:00:00,SHARP ELECTRONICS (M) SDN BHD,DYNABOOK SINGAPORE PTE. LTD.,2019-10-10T00:00:00
HIDF16000022,2018-04-19T00:00:00,GLOTAD SOLUTIONS SDN. BHD.,TOPTEK CORPORATION,2016-01-29T00:00:00
HIDF16000249,2017-12-01T00:00:00,UBAC SDN BHD,ZHONE TECHNOLOGIES INC,2016-12-02T00:00:00
HIDF15000097,2018-01-08T00:00:00,ZASRA TECHNOLOGY SDN BHD,ASTERIA ELECTRONICS MFG SDN.BHD,2015-04-13T00:00:00
HIDF15000163,2021-12-20T00:00:00,TAN CHONG & SONS MOTOR CO. SDN BHD,CALSONIC KANSEI CORP.,2015-05-19T00:00:00
HIDF19000281,2022-02-21T00:00:00,ALC-TECH (M) SDN. BHD.,DATALOGIC S.P.A,2019-12-24T00:00:00
HIDF17000037,2022-03-08T00:00:00,BMW MALAYSIA SDN. BHD.,DELPHI AUTOMATIVE SYS DEUTSCHLANDGMBH,2017-03-06T00:00:00
HIDF21000157,2022-09-20T00:00:00,DIGITAL NASIONAL BERHAD,ERICSSON (MALAYSIA) SDN BHD,2021-09-21T00:00:00
HIDF17000115,2021-01-15T00:00:00,E-LEAD ELECTRONIC (M) SDN BHD,E-LEAD ELECTRONIC CO. LTD,2017-06-08T00:00:00
